condition,regime,seed,tag,epoch,val_ce,gce_proxy,tail_worst_cvar,tail_within_cvar,oracle_wg_acc,rw_tail_core,test_loss,test_acc,test_brier,test_ece
gce_fixed30,erm_gce_q07_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3764926791191101,0.1262289451206332,13.328637838363647,0.5916265872797042,0.8995169082125604,0.3104526385005456,0.3009297139997695,0.9166411926540786,0.06736345053234952,0.047570092128059
baseline_selected,erm,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.23543457686901093,0.14897651766624137,5.260393857955933,0.40018321808117696,0.8994818652849741,0.4431748739507685,0.21633998837837676,0.9159710301690691,0.06361641738363626,0.01182623005068608
gce_proxy_selected,erm_gce_q07_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,13,0.3180924654006958,0.12266294442882862,11.237521409988403,0.5206637023918039,0.9056994818652848,0.3407041985195252,0.25314170228711586,0.9225785971265313,0.061278227647355556,0.0372707588680315
gce_val_loss_selected,erm_gce_q07_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,4,0.2754848897457123,0.13204049196710432,8.50939929485321,0.5892653612629695,0.894300518134715,0.3950676799701364,0.23784217822081383,0.9139958144237779,0.06567998642092406,0.02791773184535375
baseline_fixed30,erm,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.26852092146873474,0.1434890375231285,7.348971843719482,0.40016908155467923,0.8995169082125604,0.3821704422573215,0.2323645564869078,0.9111858348813695,0.06673765458228671,0.01561562618434715
gce_fixed30,erm_gce_q07_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.37823009490966797,0.1265843416726666,13.38671088218689,0.5902081998384238,0.8995169082125604,0.3079985100823515,0.29867179633974356,0.9170174242246103,0.0670443090214399,0.047205529434180674
baseline_selected,erm,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.23531104624271393,0.14419461416164092,5.608324527740479,0.3804976663695925,0.8984455958549222,0.43466560747107913,0.20942574785422582,0.9197451031109648,0.06090544672600443,0.010219511538152974
gce_proxy_selected,erm_gce_q07_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,20,0.34359830617904663,0.12221189268767435,12.406800985336304,0.5459512900592955,0.9056994818652848,0.32687497148920996,0.27286939186072,0.9216850471465187,0.0626876018935701,0.04170924417785706
gce_val_loss_selected,erm_gce_q07_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,3,0.2782633304595947,0.1387438110069177,8.118776559829712,0.6334447492708914,0.8870466321243523,0.40268034003874575,0.24179648356464975,0.9099865967502998,0.06808473856732561,0.025680779279777882
baseline_fixed30,erm,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.26561853289604187,0.1412230302304715,7.614693880081177,0.3988700613544996,0.9072463768115944,0.38528732577536895,0.2300091092275613,0.9138312131116703,0.06536214403667598,0.01541767671368729
gce_fixed30,erm_gce_q07_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3787282407283783,0.12526797088418176,13.621113300323486,0.587035384207468,0.9053140096618356,0.3088952563349496,0.29832766676759853,0.919051426152797,0.0658892154130999,0.04638440761844553
