dataset,regime,seed,tag,epoch,split,family,bank,partition,within_cvar_mean,within_cvar_weighted,worst_cell_cvar,worst_cell_mean_loss,worst_cell_mean_acc,oracle_wg_acc
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,A,2,1.85299973487854,1.85299973487854,2.612794876098633,0.3237034624814987,0.89,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,1,val,decoupled_proj,A,3,1.5124177646636963,1.5124177646636963,4.548569297790527,0.9032466712594033,0.675,0.8860103626943006
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,A,0,2.048417475223541,2.048417475223541,4.956385278701783,0.5866764214634895,0.85,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,A,1,2.130125925540924,2.130125925540924,3.846084642410278,0.4618414306640625,0.86,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,A,2,2.1809917092323308,2.1809917092323303,3.2218056678771974,0.33209013789892194,0.915,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,2,val,decoupled_proj,A,3,1.7542395424842834,1.7542395424842834,6.663160300254821,1.1166565135121345,0.71,0.910880829015544
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,A,0,1.920841794013977,1.920841794013977,4.244773864746094,0.5438249722123146,0.85,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,A,1,2.0059134387969975,2.005913438796997,3.302752685546875,0.41498194843530656,0.865,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,A,2,2.055340619087219,2.0553406190872194,3.438164472579956,0.3785904571413994,0.895,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,3,val,decoupled_proj,A,3,1.6916012287139892,1.6916012287139892,5.620852375030518,0.9555073368549347,0.725,0.9181347150259067
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,A,0,2.2478742241859435,2.2478742241859435,5.227270793914795,0.5694568085670472,0.875,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,A,1,2.2845340752601624,2.2845340752601624,3.673590135574341,0.37243586897850034,0.885,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,A,2,2.3172678399085997,2.3172678399085997,4.040696096420288,0.4096217331290245,0.93,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,4,val,decoupled_proj,A,3,1.9042842507362365,1.9042842507362365,7.694904327392578,1.1962035870552064,0.745,0.917098445595855
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,A,0,2.3636170458793644,2.363617045879364,5.375828695297241,0.6142934274673462,0.86,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,A,1,2.423377749919891,2.4233777499198914,4.427298498153687,0.47546952337026593,0.89,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,A,2,2.4499907946586608,2.4499907946586608,3.710749053955078,0.37943299949169157,0.92,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,5,val,decoupled_proj,A,3,2.0340844225883483,2.0340844225883483,7.572757530212402,1.1768640872836114,0.765,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,decoupled_proj,A,0,2.1565046334266667,2.156504633426666,4.623822832107544,0.5304597991704941,0.86,0.9357512953367876
camelyon17,rcgdro_finetune,0,finetune_lr0.0001_bs128_ep10_frac0.2_scivalid10s,6,val,decoupled_proj,A,1,2.213513185977936,2.213513185977936,3.0712396621704103,0.32767710477113726,0.895,0.9357512953367876
